BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,YEAR,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,NTA,OWNER_RICHNESS,BIN_POPULARNESS,LTFRONT_WAS_NAN,LTDEPTH_WAS_NAN,STORIES_WAS_NAN,EXLAND_WAS_NAN,EXTOT_WAS_NAN,BLDFRONT_WAS_NAN,BLDDEPTH_WAS_NAN,AVLAND2_WAS_NAN,AVTOT2_WAS_NAN,EXLAND2_WAS_NAN,EXTOT2_WAS_NAN,Latitude_WAS_NAN,Longitude_WAS_NAN
V0,1B,2.0,3.0,nan_val,5.7279127725856265,112,10,10,10.0,10.0,2202.0,38.35627666741522,58.19472798653954,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,nan_val,40.693080212647615,-73.9964172329741,nan category,nan category,nan category,nan_val,very rich,not popular,0,0,1,0,0,1,1,1,1,1,1,1,1
C0,1,27.0,100.0,G,2.0,686000,11510,29030,1470.0,1470.0,1017.0,19.0,40.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.687206,-73.864614,409.0 category,30.0 category,6.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
B3,1,20.0,94.0,E,2.0,441000,11132,23156,1470.0,1470.0,1017.0,16.0,44.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.693933,-73.866436,409.0 category,30.0 category,2.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A1,1,58.0,100.0,G,2.0,733000,17826,43411,1470.0,1470.0,1017.0,37.0,27.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.73465,-73.719135,413.0 category,23.0 category,157101.0 category,Bellerose,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A5,1,22.0,94.0,G,1.0,511000,13690,27326,1470.0,1470.0,1017.0,22.0,46.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.732182,-73.711369,413.0 category,23.0 category,1617.0 category,Bellerose,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A1,1,30.0,100.0,nan_val,2.5,549000,12959,24364,98540.41012852485,335868.59502753214,nan_val,20.0,25.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.727266,-73.718787,413.0 category,23.0 category,1617.0 category,Bellerose,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A2,1,40.0,100.0,nan_val,1.0,610000,13370,31248,7350.0,7350.0,1010.0,25.0,46.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.741224,-73.71465,413.0 category,23.0 category,157902.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
C0,1,18.0,96.0,E,2.0,553000,10831,25272,1470.0,1470.0,1017.0,18.0,42.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.683052,-73.861684,409.0 category,32.0 category,36.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
B2,1,30.0,123.0,nan_val,2.0,817000,14196,37656,98540.41012852485,335868.59502753214,nan_val,20.0,52.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.690512,-73.847703,409.0 category,32.0 category,20.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A2,1,40.0,100.0,nan_val,1.6,622000,14798,33840,10110.0,10110.0,1010.0,24.0,32.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.740466,-73.719323,413.0 category,23.0 category,157101.0 category,Bellerose,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A2,1,40.0,100.0,G,1.5,568000,13603,32602,13603.0,17771.0,1017.0,24.0,34.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.736436,-73.718799,413.0 category,23.0 category,157101.0 category,Bellerose,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A1,1,30.0,100.0,G,2.5,445000,11986,23811,1470.0,1470.0,1017.0,20.0,35.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.688254,-73.859485,409.0 category,32.0 category,8.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A0,1,40.0,107.0,nan_val,1.6,601000,15402,35064,1470.0,1470.0,1017.0,37.0,31.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.758553,-73.722106,411.0 category,23.0 category,152902.0 category,Douglas Manor-Douglaston-Little Neck,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A1,1,26.0,95.0,G,2.5,566000,12796,27228,12796.0,16824.0,1015.0,18.0,40.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.727553,-73.723191,413.0 category,23.0 category,1617.0 category,Bellerose,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A5,1,30.0,52.0,nan_val,2.0,450000,9072,21600,98540.41012852485,335868.59502753214,nan_val,20.0,30.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.686848,-73.845844,409.0 category,32.0 category,32.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
